@relation data_bhai-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R19

@attribute fitness_level numeric

@data
2
2
2
2
1
2
2
2
2
2
2
1
2
1
1
2
1
1
2
1
2
1
1
2
2
2
2
1
2
1
2
2
2
1
2
2
2
2
2
2
2
2
2
2
2
2
1
2
2
1
1
2
2
2
2
1
2
1
1
2
1
2
2
2
2
2
2
2
1
2
2
1
1
2
2
2
2
2
1
2
1
1
1
2
1
2
2
2
2
2
2
2
2
2
1
1
1
2
2
2
2
2
2
2
1
2
2
2
2
2
1
2
1
1
2
2
2
1
2
2
2
2
2
1
2
2
2
1
1
1
1
2
2
1
2
2
2
2
1
1
1
1
2
2
1
2
2
1
2
2
2
2
2
1
2
2
1
2
2
2
2
2
2
2
2
1
2
2
2
2
2
2
1
2
2
1
1
2
1
2
2
1
2
1
1
2
2
2
2
2
2
2
2
2
2
2
2
2
2
1
1
2
1
1
2
1
2
1
2
1
2
2
1
1
2
1
2
2
2
1
2
2
1
2
2
2
2
2
2
1
2
2
2
2
2
2
2
2
2
1
2
2
2
2
2
2
2
2
1
2
2
2
2
2
2
1
2
2
2
2
2
2
2
1
2
2
2
1
2
2
2
1
2
1
1
2
1
2
2
2
2
1
2
2
2
1
2
2
2
2
2
2
2
2
1
2
2
2
1
2
2
2
2
2
2
2
2
1
2
2
2
2
2
1
2
2
1
1
1
2
2
2
2
2
2
2
2
1
2
2
1
2
2
1
2
2
2
1
2
2
2
2
1
2
1
2
2
2
2
2
2
2
1
2
2
2
2
2
1
1
1
2
1
2
2
2
2
2
2
2
1
1
2
1
2
2
1
2
2
2
2
2
1
2
1
1
1
1
2
2
2
1
2
2
1
1
1
1
2
2
1
2
1
1
2
1
2
2
2
2
1
2
2
1
2
1
2
2
2
2
2
2
2
1
2
1
2
2
1
2
2
2
2
2
2
1
2
2
2
2
2
2
2
2
2
1
1
1
2
2
2
1
2
2
2
2
1
2
2
2
1
2
2
2
2
2
1
2
2
2
2
1
2
1
2
1
1
2
2
1
1
2
1
1
2
2
2
2
2
2
2
2
2
1
2
2
2
2
2
2
2
2
2
2
2
2
2
1
2
2
2
2
2
2
2
1
2
2
2
2
2
1
1
1
2
2
2
2
1
2
2
2
2
2
2
2
2
2
1
1
1
2
2
2
2
2
2
1
2
1
2
2
2
2
1
2
1
1
2
1
2
1
1
2
2
2
2
2
2
2
2
2
2
2
2
1
1
2
1
1
2
2
2
2
2
1
2
2
2
2
1
1
2
2
1
2
1
2
2
2
2
2
2
2
2
2
2
2
